Municipality	id	POP17	LAB17	UE17	HOU17	URB17_new
Hankasalmi	1	5019	1829	222	2376	0
Joutsa	2	4567	1605	229	2442	1
Jyväskylä	3	140188	61250	8337	71481	1
Jämsä	4	20877	7989	1175	10647	1
Kannonkoski	5	1408	473	68	672	0
Karstula	6	4146	1468	227	1974	1
Keuruu	7	9919	3517	493	4970	1
Kinnula	8	1656	522	97	711	1
Kivijärvi	9	1132	363	42	539	1
Konnevesi	10	2748	1022	134	1339	0
Kuhmoinen	11	2252	734	99	1250	1
Kyyjärvi	12	1352	484	61	622	1
Laukaa	13	18978	8082	827	7819	1
Luhanka	14	734	244	26	372	0
Multia	15	1636	570	59	776	0
Muurame	16	10097	4749	419	4144	1
Petäjävesi	17	3920	1611	175	1766	1
Pihtipudas	18	4127	1548	201	2000	0
Saarijärvi	19	9589	3368	631	4738	1
Toivakka	20	2384	956	106	1070	0
Uurainen	21	3747	1502	174	1440	0
Viitasaari	22	6411	2259	334	3273	1
Äänekoski	23	19144	7239	1128	9352	1
